# bin   nf ann       flux      r      th        V      Ve    sig   sige      h3    h3e      h4    h4e      h5    h5e      h6    h6e
    1    1   0    62082.5   3.17 -120.70  -436.38    7.03 246.56   9.74  0.0077 0.0335  0.0577 0.0484  0.0444 0.0405  0.0256 0.0446
    2    1   0    49263.8   3.69  168.73  -429.00    8.85 258.74  12.23  0.0760 0.0333  0.0504 0.0372 -0.0394 0.0340  0.0573 0.0334
    3    1   0    52420.3   4.14  -49.70  -430.07    7.86 271.47   7.35  0.0218 0.0274 -0.0464 0.0296  0.0474 0.0304  0.1579 0.0349
    4    1   0    45888.3   4.59    9.05  -437.68    7.97 251.89   9.97  0.0484 0.0329  0.0326 0.0372 -0.0231 0.0398  0.0177 0.0406
    5   11   1    13286.6   8.97  -40.71  -428.03    6.69 230.59   9.63  0.0488 0.0322  0.0223 0.0386 -0.0444 0.0328  0.0662 0.0340
    6   14   1    12296.0   9.35 -127.17  -424.89    6.72 253.12   7.42  0.0188 0.0274 -0.0151 0.0331  0.0039 0.0310  0.0678 0.0347
    7  167   2     1574.1  29.37  -38.21  -455.51   14.60 232.34  26.26 -0.0569 0.0650  0.1205 0.0663  0.0185 0.0785  0.1449 0.0969
    8  176   2     1568.9  29.87 -131.94  -410.60   16.87 278.77  15.88 -0.0756 0.0572  0.0603 0.0595  0.1588 0.0682  0.3000 0.0517
